"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus.Code","Time.Zone","Price","Note","Amenities","Hotel.Class","Phone","Phones","Claimed","Owner","Owner.Id","Owner.Link","Email","Social.Medias","Review.Count","Average.Rating","Review.URL","Google.Maps.URL","Google.Knowledge.URL","Latitude","Longitude","Website","Domain","Opening.Hours","Featured.Image","Cid","Fid","Place.Id","Kgmid","Type","Cuisine"
"La Porchetta Restaurant Ivanhoe","Easygoing chain fixing up traditional and gourmet pizzas, plus pasta dishes and Italian mains.","1014/1024 Heidelberg Rd, Ivanhoe VIC 3079","1014/1024 Heidelberg Rd","Ivanhoe VIC 3079","Italian restaurant, Meal delivery, Take Away Restaurant, Pizza restaurant, Pizza takeaway","Service options: [No-contact delivery, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Coffee, Late-night food, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Catering, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, Good for kids birthday, High chairs, Kids' menu], Parking: [Free of charge street parking, Free parking lot, ]","4RJ762FQ+QP","Australia/Melbourne","$20–40",NA,NA,NA,"(03) 9497 1100","(03) 9497 1100, +61 3 9497 1100","YES","La Porchetta Restaurant Ivanhoe (owner)",1.04225819720705e+20,"https://www.google.com/maps/contrib/104225819720704930348","","",375,4.2,"https://search.google.com/local/reviews?placeid=ChIJVRE8mwVE1moR8eUlImbFuM0&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=14823815215940232689","https://www.google.com/search?kgmid=/g/1td4pvk3",-37.7755765,145.0392889,"https://laporchetta.com.au/ivanhoe/","laporchetta.com.au","Saturday: [11:30 am-9:30 pm], Sunday: [11:30 am-9 pm], Monday: [11:30 am-9 pm], Tuesday: [11:30 am-9 pm], Wednesday: [11:30 am-9 pm], Thursday: [11:30 am-9 pm], Friday: [11:30 am-9:30 pm]","https://lh5.googleusercontent.com/p/AF1QipPW8DSZr-rT5-UKVSRIo_5OLFfT1eClVqwwpj4w=w122-h92-k-no",14823815215940233216,"0x6ad644059b3c1155:0xcdb8c5662225e5f1","ChIJVRE8mwVE1moR8eUlImbFuM0","/g/1td4pvk3","Restaurant","Italian"
"Piccolino Restaurant","Contemporary space offering Italian cuisine, wines & cocktails, plus vegan & gluten-free options.","55 Blackburn Rd, Mount Waverley VIC 3149","55 Blackburn Rd","Mount Waverley VIC 3149","Italian restaurant, Restaurant","Service options: [Outdoor seating, Takeaway, Dine-in, No delivery], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Wine], Dining options: [Dinner, Catering, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual, Cosy, Romantic, Upmarket], Crowd: [Good for groups], Planning: [Reservations required, Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs, Kids' menu], Parking: [Free of charge street parking, Free parking lot, ]","4RJ745Q2+C3","Australia/Melbourne","$40–60",NA,NA,NA,"(03) 9887 9903","(03) 9887 9903, +61 3 9887 9903","YES","Piccolino Restaurant (owner)",1.17361036429243e+20,"https://www.google.com/maps/contrib/117361036429242988576","","",1091,4,"https://search.google.com/local/reviews?placeid=ChIJEcbdmJw_1moRe68wuxYs748&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10371556942998974331","https://www.google.com/search?kgmid=/g/11dywt4_k0",-37.8614495,145.1502145,"http://www.piccolino.com.au/","piccolino.com.au","Saturday: [5-11 pm], Sunday: [5-10 pm], Monday: [5-10 pm], Tuesday: [5-10 pm], Wednesday: [5-10 pm], Thursday: [5-10 pm], Friday: [5-11 pm]","https://lh5.googleusercontent.com/p/AF1QipMJG_kWUJoyYc7xkH0eFQcO65RoFjvepBcT73aK=w122-h92-k-no",1.0371556942999e+19,"0x6ad63f9c98ddc611:0x8fef2c16bb30af7b","ChIJEcbdmJw_1moRe68wuxYs748","/g/11dywt4_k0","Restaurant","Italian"
"Seamstress Restaurant and Bar","Pan-Asian dishes in a former textile factory with low-lighting, fabric wall art and a cocktail bar.","113 Lonsdale St, Melbourne VIC 3000","113 Lonsdale St","Melbourne VIC 3000","Restaurant, Chinese restaurant, Cocktail bar, Delivery service, Event planner, Function room facility, Wine bar","Service options: [No-contact delivery, Delivery, Takeaway, Dine-in], Highlights: [Great cocktails], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance, No wheelchair-accessible seating], Offerings: [Alcohol, Beer, Cocktails, Coffee, Late-night food, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Catering, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual, Cosy, Romantic, Upmarket], Crowd: [Good for groups, LGBTQ+ friendly], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]","4RJ65XQ9+QJ","Australia/Melbourne","$$",NA,NA,NA,"(03) 9663 6363","(03) 9663 6363, +61 3 9663 6363","YES","Seamstress Restaurant and Bar (owner)",1.18432512193173e+20,"https://www.google.com/maps/contrib/118432512193173478654","","instagram: https://www.instagram.com/seamstressmelb
facebook: http://www.facebook.com/2008
",789,4.4,"https://search.google.com/local/reviews?placeid=ChIJgUj6JclC1moRK3chV0S388M&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=14119830760884107051","https://www.google.com/search?kgmid=/g/1v42fyqw",-37.8105595,144.9690135,"https://www.seamstress.com.au/","seamstress.com.au","Saturday: [12-11 pm], Sunday: [Closed], Monday: [5-11 pm], Tuesday: [12-11 pm], Wednesday: [12-11 pm], Thursday: [12-11 pm], Friday: [12-11 pm]","https://lh5.googleusercontent.com/p/AF1QipP7YHp3qrriQu9fV-UkW6xy-Z7eAsAXdXrKDyv3=w137-h92-k-no",14119830760884107264,"0x6ad642c925fa4881:0xc3f3b7445721772b","ChIJgUj6JclC1moRK3chV0S388M","/g/1v42fyqw","Restaurant","Chinese"
"Q75","","77 Victoria St, Melbourne VIC 3000","77 Victoria St","Melbourne VIC 3000","Barbecue restaurant","Service options: [Dine-in], Offerings: [Coffee], Dining options: [Breakfast], Payments: [Mobile payments]","4RJ65XV5+CG","Australia/Melbourne","",NA,NA,NA,"","","NO","Q75 (owner)",NA,"","","",24,3.8,"https://search.google.com/local/reviews?placeid=ChIJmUMqfjNd1moR9qKGlbduQiI&q=breakfast&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2468657280519152374","https://www.google.com/search?kgmid=/g/11cm01gnfw",-37.8064069,144.9588406,"","","","https://lh5.googleusercontent.com/p/AF1QipNHyWb6P8xVqIpgnBXTR2B5sYavMMtg0Qx3BgWg=w122-h92-k-no",2468657280519152128,"0x6ad65d337e2a4399:0x22426eb79586a2f6","ChIJmUMqfjNd1moR9qKGlbduQiI","/g/11cm01gnfw","Breakfast","Other"
"Sofitel Club Lounge","","25 Collins St, Melbourne VIC 3000","25 Collins St","Melbourne VIC 3000","Restaurant","Service options: [Dine-in, No delivery], Highlights: [Great cocktails], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Spirits, Wine], Dining options: [Breakfast, Brunch, Lunch, Dinner, Catering, Dessert, Seating], Amenities: [Bar on site, Toilets, Wi-Fi, ], Atmosphere: [Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Mobile payments, ], Children: [High chairs]","4RJ65XPC+5R","Australia/Melbourne","",NA,NA,NA,"(03) 9653 0000","(03) 9653 0000, +61 3 9653 0000","YES","Sofitel Club Lounge (owner)",1.10811956855775e+20,"https://www.google.com/maps/contrib/110811956855775435992","","",17,4.3,"https://search.google.com/local/reviews?placeid=ChIJ62YP0MdC1moRl_FivKToz7s&q=breakfast&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=13533291199504511383","https://www.google.com/search?kgmid=/g/11h9__ccdl",-37.8145846,144.9720569,"http://www.sofitel-melbourne.com.au/","sofitel-melbourne.com.au","Thursday: [7 am-8 pm], Friday: [7 am-8 pm], Saturday: [7 am-8 pm], Sunday: [7 am-8 pm], Monday: [7 am-8 pm], Tuesday: [7 am-8 pm], Wednesday: [7 am-8 pm]","https://lh5.googleusercontent.com/p/AF1QipNZef4T5QUZZbWIsKjjqr6zMgXkkjeTZTld7OBf=w92-h92-k-no",13533291199504510976,"0x6ad642c7d00f66eb:0xbbcfe8a4bc62f197","ChIJ62YP0MdC1moRl_FivKToz7s","/g/11h9__ccdl","Breakfast","Other"
"Phancy Cafe & Catering","Cheery and modern spot with banquettes and a rustic look, for espresso, breakfasts and light meals.","408 Queen St, Melbourne VIC 3000","408 Queen St","Melbourne VIC 3000","Cafe, Breakfast restaurant, Brunch restaurant, Coffee shop","Service options: [Takeaway, Dine-in], Offerings: [Coffee], Dining options: [Breakfast, Brunch, Lunch, Dessert], Payments: [Mobile payments]","4RJ65XR5+98","Australia/Melbourne","$",NA,NA,NA,"(03) 9670 0884","(03) 9670 0884, +61 3 9670 0884","YES","Phancy Cafe & Catering (owner)",1.03109386450427e+20,"https://www.google.com/maps/contrib/103109386450427102538","","",198,4.4,"https://search.google.com/local/reviews?placeid=ChIJ93lfpjVd1moRyNHBOShkQV8&q=breakfast&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6863877431019819464","https://www.google.com/search?kgmid=/g/1tg_x72b",-37.8090882,144.9582545,"","","","https://lh5.googleusercontent.com/p/AF1QipP1TsYLaZJShdxTcHab4m1fq1tBSWoRR2godsbg=w115-h92-k-no",6863877431019819008,"0x6ad65d35a65f79f7:0x5f41642839c1d1c8","ChIJ93lfpjVd1moRyNHBOShkQV8","/g/1tg_x72b","Breakfast","Other"
"YASSAS - THE GREEK WAY (SOUTHBANK)","Laid-back restaurant serving traditional Greek cooking & drinks in a straightforward setting.","4-9, Level M/3 Southgate Ave, Southbank VIC 3006","4-9","Level M/3 Southgate Ave","Greek restaurant, Dinner theater, Gluten-free restaurant, Mediterranean restaurant, Restaurant","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Highlights: [Rooftop seating], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Halal food, Happy-hour drinks, Happy-hour food, Healthy options, Late-night food, Salad bar, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Brunch, Lunch, Dinner, Catering, Counter service, Dessert, Seating], Amenities: [Bar on site, Gender-neutral toilets, Toilets], Atmosphere: [Casual], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly], Planning: [Reservations required, Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs, Kids' menu], Parking: [Paid parking lot, Paid street parking, ]","4RJ65XH8+XF","Australia/Melbourne","$20–60",NA,NA,NA,"(03) 9134 7751","(03) 9134 7751, +61 3 9134 7751","YES","YASSAS - THE GREEK WAY (SOUTHBANK) (owner)",1.16907809483311e+20,"https://www.google.com/maps/contrib/116907809483311451159","","instagram: https://www.instagram.com/yassasthegreekway
facebook: https://www.facebook.com/yassasthegreekway
",1456,4,"https://search.google.com/local/reviews?placeid=ChIJcScB2rNC1moRZSBo-Wm8C-0&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=17080953175074676837","https://www.google.com/search?kgmid=/g/11cmtr53mx",-37.8201217,144.9661924,"https://www.yassas.com.au/southbank/","yassas.com.au","Saturday: [11:30 am-10 pm], Sunday: [11:30 am-9:30 pm], Monday: [11:30 am-9 pm], Tuesday: [11:30 am-9 pm], Wednesday: [11:30 am-9 pm], Thursday: [11:30 am-9 pm], Friday: [11:30 am-10 pm]","https://lh5.googleusercontent.com/p/AF1QipNmqPtiILRjVGeVm2Uy7DAvbX9S5wARVAXhEJkT=w122-h92-k-no",17080953175074676736,"0x6ad642b3da012771:0xed0bbc69f9682065","ChIJcScB2rNC1moRZSBo-Wm8C-0","/g/11cmtr53mx","Restaurant","Mediterranean"
"Fonda Mexican Flinders Lane","Trendy operation doing out updated street food classics, as well as cocktails jugs.","31 Flinders Ln, Melbourne VIC 3000","31 Flinders Ln","Melbourne VIC 3000","Mexican restaurant, Burrito restaurant, Cocktail bar, Take Away Restaurant, Restaurant, Taco restaurant","Service options: [Outdoor seating, No-contact delivery, Delivery, On-site services, Takeaway, Dine-in], Highlights: [Fast service], Accessibility: [Wheelchair-accessible seating, Wheelchair-accessible toilet, No wheelchair-accessible car park], Offerings: [Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Healthy options, Late-night food, Quick bite, Small plates, Spirits, Vegan options, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Counter service, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual], Crowd: [Family friendly, Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs], Parking: [Paid multi-storey car park, Paid parking lot, Paid street parking]","4RJ65XPF+28","Australia/Melbourne","$20–40",NA,NA,NA,"(03) 8686 7300","(03) 8686 7300, +61 3 8686 7300","YES","Fonda Mexican Flinders Lane (owner)",1.04621423449951e+20,"https://www.google.com/maps/contrib/104621423449950847797","","instagram: https://www.instagram.com/fondamexican
facebook: https://www.facebook.com/fondamexican
",2181,4.1,"https://search.google.com/local/reviews?placeid=ChIJ4alrwcdC1moRUWjI-7mjBks&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=5406188421893351505","https://www.google.com/search?kgmid=/g/11bbrl06zz",-37.814891,144.9732909,"https://www.fondamexican.com.au/restaurants/flinders-lane/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website","fondamexican.com.au","Saturday: [11:30 am-10 pm], Sunday: [11:30 am-9 pm], Monday: [11:30 am-9 pm], Tuesday: [11:30 am-9 pm], Wednesday: [11:30 am-9 pm], Thursday: [11:30 am-9 pm], Friday: [11:30 am-10 pm]","https://lh5.googleusercontent.com/p/AF1QipO_uHfdo1cOOtWbqDATvF481LVZP_--rRm9rz_s=w137-h92-k-no",5406188421893351424,"0x6ad642c7c16ba9e1:0x4b06a3b9fbc86851","ChIJ4alrwcdC1moRUWjI-7mjBks","/g/11bbrl06zz","Restaurant","Mexican"
"Sushi Mise","","3 Separation St, Northcote VIC 3070","3 Separation St","Northcote VIC 3070","Sushi restaurant","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance], Offerings: [Healthy options, Small plates], Dining options: [Lunch, Dinner, Seating], Atmosphere: [Casual], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids]","4RJ762J2+XH","Australia/Melbourne","$20–40",NA,NA,NA,"(03) 9077 1676","(03) 9077 1676, +61 3 9077 1676","NO","Sushi Mise (owner)",NA,"","","",44,3.4,"https://search.google.com/local/reviews?placeid=ChIJudOyu4FE1moRBaogr84KJek&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16799845867793197573","https://www.google.com/search?kgmid=/g/11g6wy279p",-37.7675774,145.0013851,"https://sushimiserestaurant.com.au/","sushimiserestaurant.com.au","Saturday: [11 am-5 pm], Sunday: [11 am-5 pm], Monday: [11 am-5 pm], Tuesday: [11 am-5 pm], Wednesday: [11 am-5 pm], Thursday: [11 am-5 pm], Friday: [11 am-5 pm]","https://lh5.googleusercontent.com/p/AF1QipPQChAVOsvct2nOgIE5Z3wBvWqNTARib74ThIPF=w122-h92-k-no",16799845867793197056,"0x6ad64481bbb2d3b9:0xe9250aceaf20aa05","ChIJudOyu4FE1moRBaogr84KJek","/g/11g6wy279p","Restaurant","Japanese"
"La Roche","Quirky spot with graffitied walls and dark-leather banquettes, whipping up cafe staples and drinks.","138-140 Acland St, St Kilda VIC 3182","138-140 Acland St","St Kilda VIC 3182","Restaurant, Breakfast restaurant, Cafe","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Highlights: [Great cocktails], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Happy-hour drinks, Late-night food, Small plates, Spirits, Wine], Dining options: [Breakfast, Brunch, Lunch, Dinner, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs, Kids' menu]","4RJ64XJJ+F2","Australia/Melbourne","$20–40",NA,NA,NA,"0405 844 577","0405 844 577, +61 405 844 577","YES","La Roche (owner)",1.12759450102043e+20,"https://www.google.com/maps/contrib/112759450102043342058","","instagram: //instagram.com/larochestkilda
",1368,4.2,"https://search.google.com/local/reviews?placeid=ChIJOdvI1WZo1moRahA-T8Xe0VM&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=6039853514299936874","https://www.google.com/search?kgmid=/g/1thx_ysj",-37.8687883,144.9800723,"http://larochecafe.com.au/","larochecafe.com.au","Saturday: [9 am-12 am], Sunday: [9 am-10:30 pm], Monday: [10 am-11 pm], Tuesday: [10 am-11 pm], Wednesday: [10 am-11 pm], Thursday: [10 am-11 pm], Friday: [10 am-11 pm]","https://lh5.googleusercontent.com/p/AF1QipMFuNPaX9XLrJYWfYQ_TJhJ5hVNr8wOg7dBfjvd=w122-h92-k-no",6039853514299936768,"0x6ad66866d5c8db39:0x53d1dec54f3e106a","ChIJOdvI1WZo1moRahA-T8Xe0VM","/g/1thx_ysj","Restaurant","Other"
"North Seafood & Grill (Rear Northcote plaza )","","8 Breavington Way, Northcote VIC 3070","8 Breavington Way","Northcote VIC 3070","Seafood restaurant, Cafe, Fish and chips takeaway, Restaurant","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible seating], Offerings: [Alcohol, Beer, Coffee, Halal food, Healthy options, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Lunch, Dinner, Catering, Dessert, Seating], Amenities: [Bar on site], Atmosphere: [Casual], Crowd: [Family friendly, Good for groups], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs, Kids' menu], Parking: [Free of charge street parking, Free parking lot, ], Pets: [Dogs allowed]","4RJ762J2+RW","Australia/Melbourne","$20–40",NA,NA,NA,"(03) 8899 6464","(03) 8899 6464, +61 3 8899 6464","YES","North Seafood & Grill (Rear Northcote plaza ) (owner)",1.10365552717498e+20,"https://www.google.com/maps/contrib/110365552717498167647","","instagram: https://www.instagram.com/hungryhungry.co
facebook: https://www.facebook.com/hungryhungry.co
tiktok: https://www.tiktok.com/@hungryhungryco
youtube: https://www.youtube.com/channel/uch8bkx7zs1rwhkdvztsjrgw
linkedin: https://www.linkedin.com/company/hungryhungry
",438,4.8,"https://search.google.com/local/reviews?placeid=ChIJ5a69jXNF1moRt1qJxCPxF2g&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=7500728840332335799","https://www.google.com/search?kgmid=/g/11h5pbsxv4",-37.7679319,145.002339,"http://order.hungryhungry.com/northfishchippery","order.hungryhungry.com","Saturday: [11 am-9 pm], Sunday: [11 am-9 pm], Monday: [11 am-9 pm], Tuesday: [Closed], Wednesday: [11 am-9 pm], Thursday: [11 am-9 pm], Friday: [11 am-9 pm]","https://lh5.googleusercontent.com/p/AF1QipNA7Sp-MQVukR1bBuew7BSGxIPhSMTSqWo6Br6K=w122-h92-k-no",7500728840332336128,"0x6ad645738dbdaee5:0x6817f123c4895ab7","ChIJ5a69jXNF1moRt1qJxCPxF2g","/g/11h5pbsxv4","Restaurant","Other"
"Cielo Pizza & More","","477 Burke Rd, Camberwell VIC 3146","477 Burke Rd","Camberwell VIC 3146","Restaurant, Take Away Restaurant, Pasta shop, Pizza delivery, Pizza takeaway, Soft drinks shop","Service options: [Outdoor seating, No-contact delivery, Delivery, Takeaway, Dine-in], Offerings: [Halal food, Late-night food, Salad bar, Small plates, Vegan options, Vegetarian options], Dining options: [Lunch, Dinner, Catering, Dessert, Seating], Atmosphere: [Casual], Payments: [Cash only, Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, Kids' menu], Parking: [Free of charge street parking]","4RJ75333+WG","Australia/Melbourne","$20–40",NA,NA,NA,"(03) 9191 1175","(03) 9191 1175, +61 3 9191 1175","YES","Cielo Pizza & More (owner)",1.11216610251658e+20,"https://www.google.com/maps/contrib/111216610251657821763","","",187,4.7,"https://search.google.com/local/reviews?placeid=ChIJR33byLZB1moRpifsVbOAVfI&q=Restaurants&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=17462004637928007590","https://www.google.com/search?kgmid=/g/11rgl97kg5",-37.8452443,145.0538169,"https://cielopizzaandmore.com.au/","cielopizzaandmore.com.au","Saturday: [12:01 pm-2:30 am], Sunday: [12:01 pm-2 am], Monday: [3:30 pm-2 am], Tuesday: [3:30 pm-2 am], Wednesday: [3:30 pm-2 am], Thursday: [3:30 pm-2 am], Friday: [12:01 pm-2:30 am]","https://lh5.googleusercontent.com/p/AF1QipMqE42mNDVlE4-gBM8YCh2aPKzxf_7ibm1ycNs=w80-h142-k-no",1.7462004637928e+19,"0x6ad641b6c8db7d47:0xf25580b355ec27a6","ChIJR33byLZB1moRpifsVbOAVfI","/g/11rgl97kg5","Restaurant","Italian"
"South of Johnston","","46 Oxford St, Collingwood VIC 3066","46 Oxford St","Collingwood VIC 3066","Cafe, Breakfast restaurant, Coffee shop","Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Highlights: [Fireplace], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Healthy options, Small plates, Spirits, Vegan options, Vegetarian options, Wine], Dining options: [Breakfast, Brunch, Lunch, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs], Parking: [Free of charge street parking, Paid street parking], Pets: [Dogs allowed]","4RJ65XVM+JV","Australia/Melbourne","$20–40",NA,NA,NA,"(03) 9417 2741","(03) 9417 2741, +61 3 9417 2741","YES","South of Johnston (owner)",1.05499759457207e+20,"https://www.google.com/maps/contrib/105499759457207272309","","",979,4.6,"https://search.google.com/local/reviews?placeid=ChIJDeqOSudC1moRLCC-gjbUWow&q=brunch&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10113629243800690732","https://www.google.com/search?kgmid=/g/1hc0ynl0c",-37.8059899,144.9846545,"https://www.southofjohnston.com.au/","southofjohnston.com.au","Thursday: [7:30 am-4 pm], Friday: [7:30 am-4 pm], Saturday: [7:30 am-4 pm], Sunday: [7:30 am-4 pm], Monday: [7:30 am-4 pm], Tuesday: [7:30 am-4 pm], Wednesday: [7:30 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipNa-ryIOmsfQmDKtkz3qa1p_bT7iPrrzIHDjX5q=w155-h92-k-no",10113629243800690688,"0x6ad642e74a8eea0d:0x8c5ad43682be202c","ChIJDeqOSudC1moRLCC-gjbUWow","/g/1hc0ynl0c","Brunch","Other"
"Quists Coffee","","166 Little Collins St, Melbourne VIC 3000","166 Little Collins St","Melbourne VIC 3000","Coffee shop, Coffee roasters, Coffee store, Coffee wholesaler","Service options: [No-contact delivery, On-site services, Takeaway, Dine-in, No delivery], Accessibility: [No wheelchair-accessible car park, No wheelchair-accessible entrance, No wheelchair-accessible seating], Offerings: [Coffee], Amenities: [No toilets], Atmosphere: [Casual, Cosy], Planning: [Doesn't accept reservations], Payments: [Credit cards, Debit cards, Mobile payments, ]","4RJ65XP9+F6","Australia/Melbourne","$1–20",NA,NA,NA,"(03) 9650 1530","(03) 9650 1530, +61 3 9650 1530","YES","Quists Coffee (owner)",1.09904141556733e+20,"https://www.google.com/maps/contrib/109904141556733423965","","",173,4.7,"https://search.google.com/local/reviews?placeid=ChIJ2fB53clC1moR716TrzZguvE&q=coffee+shop&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=17418340296798985967","https://www.google.com/search?kgmid=/g/1tk6w15r",-37.8138608,144.9680947,"http://www.quistscoffee.com.au/","quistscoffee.com.au","Tuesday: [8 am-4 pm], Wednesday: [8 am-4 pm], Thursday: [8 am-4 pm], Friday: [8 am-4 pm], Saturday: [Closed], Sunday: [Closed], Monday: [8 am-4 pm]","https://lh5.googleusercontent.com/p/AF1QipM4rMPDqYqjm1AYr57RrXQjYHPJvGILg5oinQnN=w122-h92-k-no",1.7418340296799e+19,"0x6ad642c9dd79f0d9:0xf1ba6036af935eef","ChIJ2fB53clC1moR716TrzZguvE","/g/1tk6w15r","Coffee Shop","Other"
"Ten Square Cafe","","120 Hardware St, Melbourne VIC 3000","120 Hardware St","Melbourne VIC 3000","Cafe, Breakfast restaurant, Brunch restaurant, Lunch restaurant, Vegan restaurant, Vegetarian restaurant","From the business: [Identifies as women-owned], Service options: [Outdoor seating, Delivery, Takeaway, Dine-in], Accessibility: [Wheelchair-accessible entrance, Wheelchair-accessible seating, Wheelchair-accessible toilet], Offerings: [Alcohol, Beer, Cocktails, Coffee, Organic dishes, Prepared foods, Small plates, Spirits, Vegetarian options, Wine], Dining options: [Breakfast, Brunch, Lunch, Dessert, Seating], Amenities: [Bar on site, Toilets], Atmosphere: [Casual, Cosy], Crowd: [Family friendly, Good for groups, LGBTQ+ friendly, Transgender safe space], Planning: [Accepts reservations], Payments: [Credit cards, Debit cards, Mobile payments, ], Children: [Good for kids, High chairs, Kids' menu]","4RJ65XQ6+66","Australia/Melbourne","$20–40",NA,NA,NA,"(03) 9670 6522","(03) 9670 6522, +61 3 9670 6522","YES","Ten Square Cafe (owner)",1.02459547779661e+20,"https://www.google.com/maps/contrib/102459547779660604270","","",609,4.3,"https://search.google.com/local/reviews?placeid=ChIJAyP1p-Fd1moR6_Wk_aA_aD8&q=brunch&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=4568971782650131947","https://www.google.com/search?kgmid=/g/11h7fz466_",-37.8119947,144.9605646,"http://www.tensquarecafe.com.au/","tensquarecafe.com.au","Thursday: [8 am-3 pm], Friday: [8 am-3 pm], Saturday: [8 am-3 pm], Sunday: [8 am-3 pm], Monday: [8 am-3 pm], Tuesday: [8 am-3 pm], Wednesday: [8 am-3 pm]","https://lh5.googleusercontent.com/p/AF1QipPsnezrUE6wvNE2WAQHKW2isgD5doFiKOFkEg9T=w138-h92-k-no",4568971782650131968,"0x6ad65de1a7f52303:0x3f683fa0fda4f5eb","ChIJAyP1p-Fd1moR6_Wk_aA_aD8","/g/11h7fz466_","Brunch","Other"
